,week_index,Count
0,32,7631.571428571428
1,41,7264.285714285715
2,42,6289.857142857143
3,33,5355.285714285715
4,44,5324.571428571428
5,43,5075.285714285715
6,45,4919.428571428572
7,36,4898.285714285715
8,39,4881.714285714285
9,26,4796.0
10,34,4669.285714285715
11,35,4420.0
12,29,4377.285714285715
13,48,4370.428571428572
14,14,4312.428571428572
15,13,4312.0
16,27,4230.0
17,9,4163.571428571428
18,15,4059.5714285714284
19,46,4007.714285714286
20,47,3993.4285714285716
21,30,3959.5714285714284
22,37,3768.285714285714
23,40,3739.285714285714
24,31,3695.0
25,38,3621.4285714285716
26,12,3582.0
27,24,3517.714285714286
28,25,3510.8571428571427
29,10,3364.0
30,49,3339.714285714286
31,19,3172.4285714285716
32,8,3165.285714285714
33,21,3127.8571428571427
34,11,3091.8571428571427
35,16,3090.1428571428573
36,28,3082.5714285714284
37,20,3055.5714285714284
38,17,3046.4285714285716
39,18,2914.714285714286
40,23,2803.285714285714
41,22,2730.8571428571427
42,7,2643.0
43,6,2152.1428571428573
44,5,2131.5714285714284
45,4,1569.0
46,0,794.1428571428571
47,1,758.0
48,2,506.2857142857143
49,3,374.7142857142857
