,week_index,Count
0,35,1926.142857142857
1,37,1711.857142857143
2,36,1634.2857142857142
3,34,1629.142857142857
4,38,1518.4285714285713
5,41,1396.7142857142858
6,39,1310.5714285714287
7,42,1292.857142857143
8,33,1234.2857142857142
9,43,1232.7142857142858
10,45,1226.0
11,32,1198.142857142857
12,31,1182.857142857143
13,40,1158.5714285714287
14,44,1150.4285714285713
15,9,1147.2857142857142
16,21,1139.0
17,27,1138.2857142857142
18,46,1131.857142857143
19,26,1119.4285714285713
20,49,1104.142857142857
21,25,1089.857142857143
22,20,1075.857142857143
23,17,1073.0
24,29,1056.0
25,47,1040.5714285714287
26,19,1034.0
27,13,1013.4285714285714
28,15,1003.2857142857143
29,30,1003.0
30,14,1002.0
31,23,992.8571428571429
32,12,984.0
33,48,972.8571428571429
34,24,971.0
35,22,957.4285714285714
36,16,947.2857142857143
37,18,932.5714285714286
38,28,921.5714285714286
39,11,893.1428571428571
40,8,883.7142857142857
41,10,853.4285714285714
42,5,663.0
43,7,644.7142857142857
44,6,631.0
45,4,502.42857142857144
46,0,184.71428571428572
47,1,161.71428571428572
48,2,113.57142857142857
49,3,81.28571428571429
