,week_index,Count
0,19,841.0
1,20,794.0
2,47,766.1428571428571
3,24,747.1428571428571
4,39,743.7142857142857
5,16,720.0
6,15,695.0
7,21,694.0
8,17,674.4285714285714
9,41,670.1428571428571
10,18,644.8571428571429
11,22,641.4285714285714
12,34,609.7142857142857
13,23,606.8571428571429
14,31,604.1428571428571
15,45,579.0
16,35,573.0
17,25,568.0
18,32,549.8571428571429
19,30,540.5714285714286
20,42,523.7142857142857
21,40,515.1428571428571
22,14,509.85714285714283
23,26,508.0
24,29,491.42857142857144
25,43,474.42857142857144
26,27,473.14285714285717
27,13,461.85714285714283
28,36,459.57142857142856
29,37,450.42857142857144
30,28,431.42857142857144
31,9,428.42857142857144
32,8,418.2857142857143
33,33,417.57142857142856
34,46,417.2857142857143
35,38,400.57142857142856
36,11,373.85714285714283
37,48,371.57142857142856
38,44,354.0
39,12,351.57142857142856
40,6,346.42857142857144
41,5,345.42857142857144
42,7,336.85714285714283
43,10,330.7142857142857
44,49,263.2857142857143
45,4,253.85714285714286
46,0,117.42857142857143
47,1,113.28571428571429
48,2,75.57142857142857
49,3,49.42857142857143
